Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023/06/05 10:07:33 PM GMT+5:30,63,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,No,Rarely,Keyword,First page,1,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Moderately,Yes,4,Sometimes,1,1,.,Shipping speed and reliability,273961
2023/06/06 6:46:14 PM GMT+5:30,19,Prefer not to say,Once a week,Home and Kitchen;others,No,Rarely,categories,First page,2,Maybe,Often,others,Always,Yes,Rarely,Sometimes,3,Yes,1,2,Wide product selection,User interface of app,820621
2023/06/09 3:10:36 PM GMT+5:30,50,Others,Once a week,Groceries and Gourmet Food,Sometimes,Rarely,Filter,Multiple pages,4,Maybe,Always,Found a better price elsewhere,Often,No,Heavily,Yes,4,No,1,3,Competitive prices,I have no problem with Amazon yet. But others tell me about the refund issues ,280430
2023/06/11 10:50:44 PM GMT+5:30,8,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Rarely,nan,First page,3,No,Always,others,Always,No,Moderately,No,5,Yes,2,2,Competitive prices,I have no problem with Amazon yet. But others tell me about the refund issues ,126064
2023/06/07 2:33:56 PM GMT+5:30,6,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Few times a week,categories,Multiple pages,4,No,Always,others,Sometimes,Yes,Never,Sometimes,2,Sometimes,4,5,Quick delivery,No problems with Amazon,391861
2023/06/07 10:20:09 PM GMT+5:30,46,Female,Multiple times a week,Home and Kitchen;others,Yes,Multiple times a day,categories,Multiple pages,2,Yes,Often,others,Rarely,No,Occasionally,No,4,Yes,5,4,Competitive prices,Nothing,692443
2023/06/06 10:07:39 AM GMT+5:30,45,Female,Once a month,others,Sometimes,Few times a month,others,Multiple pages,3,Maybe,Always,Changed my mind or no longer need the item,Often,No,Rarely,No,5,No,3,4,Wide product selection,UI,944858
2023/06/07 11:10:09 PM GMT+5:30,33,Others,Once a week,Home and Kitchen,No,Few times a month,others,First page,4,No,Rarely,Found a better price elsewhere,Always,Yes,Rarely,Yes,4,Sometimes,1,2,Customer service,User interface of app,271812
2023/06/12 3:44:16 PM GMT+5:30,25,Others,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,3,Maybe,Often,High shipping costs,Sometimes,No,Occasionally,Yes,4,Sometimes,1,5,.,Quality of product is very poor according to the big offers,562864
2023/06/11 11:19:12 PM GMT+5:30,36,Others,Few times a month,Home and Kitchen,Yes,Few times a month,Filter,First page,2,Maybe,Never,Changed my mind or no longer need the item,Always,No,Occasionally,No,2,Sometimes,1,3,All the above,I don't have any problem with Amazon,878096
2023/06/11 11:27:55 PM GMT+5:30,44,Female,Once a month,Clothing and Fashion,Sometimes,Rarely,categories,Multiple pages,2,No,Often,Found a better price elsewhere,Sometimes,Yes,Rarely,No,1,Yes,4,1,User-friendly website/app interface,Add more familiar brands to the list,756035
2023/06/07 10:38:51 PM GMT+5:30,43,Prefer not to say,Once a month,Beauty and Personal Care,Yes,Few times a month,Keyword,Multiple pages,3,Yes,Sometimes,others,Rarely,Yes,Rarely,Yes,4,No,2,5,.,Product quality and accuracy,145801
2023/06/09 10:25:27 AM GMT+5:30,3,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,Filter,First page,2,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Moderately,Yes,3,Yes,1,2,Quick delivery,UI,262076
2023/06/08 5:48:55 PM GMT+5:30,6,Female,Few times a month,Home and Kitchen;others,No,Rarely,Keyword,First page,3,Maybe,Sometimes,High shipping costs,Always,Yes,Moderately,Yes,1,No,2,4,Customer service,.,740861
2023/06/04 11:38:30 PM GMT+5:30,55,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Multiple times a day,Filter,First page,5,Yes,Rarely,Found a better price elsewhere,Sometimes,Yes,Heavily,No,2,Yes,2,2,User-friendly website/app interface,I don't have any problem with Amazon,249746
2023/06/07 2:19:05 PM GMT+5:30,30,Others,Once a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,Keyword,Multiple pages,3,No,Always,High shipping costs,Rarely,No,Never,Sometimes,2,No,5,3,Customer service,Add more familiar brands to the list,972947
2023/06/12 3:27:59 PM GMT+5:30,24,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,nan,Multiple pages,1,No,Often,High shipping costs,Sometimes,No,Heavily,Yes,2,No,2,5,Product recommendations,Product quality and accuracy,670421
2023/06/11 10:54:33 PM GMT+5:30,29,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a month,others,First page,3,Yes,Never,Changed my mind or no longer need the item,Rarely,No,Never,Yes,5,No,1,3,Customer service,No problems with Amazon,739168
2023/06/09 7:23:09 PM GMT+5:30,18,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Few times a week,others,Multiple pages,5,No,Sometimes,Found a better price elsewhere,Never,No,Rarely,No,3,No,4,3,Product recommendations,Reducing packaging waste,752837
2023/06/07 6:17:42 PM GMT+5:30,25,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Few times a month,categories,Multiple pages,5,No,Never,Found a better price elsewhere,Never,No,Heavily,No,1,No,1,1,Competitive prices,User interface ,698159
2023/06/08 3:23:36 AM GMT+5:30,56,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,1,No,Sometimes,others,Often,No,Occasionally,No,3,Sometimes,4,1,.,User interface of app,198382
2023/06/04 9:18:12 PM GMT+5:30,65,Others,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Few times a week,categories,Multiple pages,2,Yes,Always,Changed my mind or no longer need the item,Often,No,Occasionally,Sometimes,2,Yes,1,5,Wide product selection,Quality of product is very poor according to the big offers,513315
2023/06/11 9:31:41 AM GMT+5:30,30,Others,Less than once a month,Beauty and Personal Care;others,Sometimes,Few times a week,Filter,First page,1,Yes,Sometimes,High shipping costs,Rarely,Yes,Moderately,Yes,5,Sometimes,2,3,Customer service,I have no problem with Amazon yet. But others tell me about the refund issues ,250655
2023/06/05 8:49:12 PM GMT+5:30,19,Others,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a month,others,Multiple pages,3,Maybe,Rarely,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,1,Sometimes,1,2,Customer service ,UI,173250
2023/06/11 10:43:19 PM GMT+5:30,53,Prefer not to say,Few times a month,Groceries and Gourmet Food;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,4,No,Rarely,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Sometimes,3,No,1,2,Quick delivery,Add more familiar brands to the list,480321
2023/06/07 9:21:50 PM GMT+5:30,22,Male,Once a month,Beauty and Personal Care,Sometimes,Few times a month,Filter,Multiple pages,1,Maybe,Never,High shipping costs,Always,No,Heavily,No,5,Yes,4,5,Quick delivery,Nothing,589283
2023/06/05 8:43:26 AM GMT+5:30,36,Female,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Rarely,others,First page,4,Maybe,Never,High shipping costs,Often,No,Occasionally,Sometimes,3,No,2,5,Quick delivery,better app interface and lower shipping charges,372270
2023/06/09 2:42:24 PM GMT+5:30,67,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,3,No,Always,Changed my mind or no longer need the item,Often,Yes,Occasionally,No,5,Yes,3,1,Wide product selection,No problems with Amazon,867575
2023/06/09 2:41:53 PM GMT+5:30,56,Male,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a month,categories,First page,3,No,Rarely,others,Often,No,Occasionally,No,5,Yes,4,1,Quick delivery,No problems with Amazon,126697
2023/06/11 11:04:55 PM GMT+5:30,41,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Multiple times a day,Keyword,First page,4,No,Never,Found a better price elsewhere,Rarely,Yes,Heavily,Yes,4,Yes,5,2,Customer service ,Product quality and accuracy,876289
2023/06/12 3:59:59 PM GMT+5:30,3,Male,Less than once a month,Clothing and Fashion,Yes,Few times a week,others,Multiple pages,1,No,Often,Found a better price elsewhere,Never,Yes,Rarely,Yes,3,No,5,3,Quick delivery,.,446463
2023/06/07 9:32:38 AM GMT+5:30,32,Others,Once a month,Clothing and Fashion;others,No,Multiple times a day,categories,Multiple pages,4,Yes,Never,High shipping costs,Sometimes,No,Heavily,Yes,1,Yes,5,5,Quick delivery,Shipping speed and reliability,821718
2023/06/09 7:26:02 PM GMT+5:30,22,Prefer not to say,Once a month,Clothing and Fashion,Yes,Few times a month,others,First page,1,Maybe,Always,Found a better price elsewhere,Sometimes,Yes,Never,No,2,No,2,5,Quick delivery,better app interface and lower shipping charges,594959
2023/06/07 9:54:24 PM GMT+5:30,61,Others,Once a week,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a month,Keyword,Multiple pages,5,Maybe,Never,Found a better price elsewhere,Sometimes,Yes,Never,Yes,5,Yes,2,1,User-friendly website/app interface,Nothing,214001
2023/06/11 2:07:39 PM GMT+5:30,56,Others,Once a month,others,No,Few times a week,nan,Multiple pages,4,Maybe,Always,Changed my mind or no longer need the item,Sometimes,No,Rarely,No,1,No,1,1,User-friendly website/app interface,Scrolling option would be much better than going to next page,622644
2023/06/08 6:00:50 PM GMT+5:30,35,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,nan,Multiple pages,1,Maybe,Always,Found a better price elsewhere,Rarely,Yes,Heavily,Yes,1,Sometimes,2,3,Customer service,Shipping speed and reliability,954138
2023/06/07 11:06:40 PM GMT+5:30,29,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;others,No,Multiple times a day,Filter,First page,5,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Moderately,Sometimes,4,Yes,5,1,User-friendly website/app interface,Customer service responsiveness,171707
2023/06/06 7:15:48 PM GMT+5:30,52,Others,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,nan,Multiple pages,2,Maybe,Often,others,Never,Yes,Never,Yes,1,Yes,1,4,Wide product selection,Reducing packaging waste,579286
2023/06/06 7:16:28 PM GMT+5:30,44,Others,Once a month,Beauty and Personal Care,Yes,Rarely,categories,First page,4,Maybe,Often,others,Often,No,Heavily,Yes,4,Sometimes,3,2,Wide product selection,I don't have any problem with Amazon,378228
2023/06/06 10:46:31 AM GMT+5:30,57,Female,Less than once a month,Clothing and Fashion;Home and Kitchen;others,No,Rarely,Filter,Multiple pages,4,No,Always,High shipping costs,Often,No,Never,Yes,1,Yes,1,2,Product recommendations,User interface ,638160
2023/06/08 3:30:05 AM GMT+5:30,30,Male,Once a week,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Few times a month,others,Multiple pages,3,Yes,Never,Changed my mind or no longer need the item,Rarely,No,Occasionally,Sometimes,5,Sometimes,2,4,Product recommendations,Shipping speed and reliability,561516
2023/06/06 9:37:33 AM GMT+5:30,25,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Sometimes,Multiple times a day,Keyword,Multiple pages,5,No,Rarely,Changed my mind or no longer need the item,Never,Yes,Heavily,Yes,4,Sometimes,3,5,.,Irrelevant product suggestions,111915
2023/06/07 9:24:31 AM GMT+5:30,26,Male,Less than once a month,Clothing and Fashion;Home and Kitchen,Yes,Rarely,Keyword,Multiple pages,2,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Yes,5,No,5,1,User-friendly website/app interface,No problems with Amazon,576191
2023/06/06 10:36:14 AM GMT+5:30,24,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,others,Multiple pages,3,Maybe,Often,High shipping costs,Sometimes,No,Never,Yes,2,Yes,3,2,Wide product selection,Nothing,129887
2023/06/07 1:33:51 PM GMT+5:30,44,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;others,No,Multiple times a day,Filter,Multiple pages,5,No,Never,Changed my mind or no longer need the item,Always,Yes,Occasionally,Sometimes,2,No,1,1,Product recommendations,Quality of product is very poor according to the big offers,999892
2023/06/08 10:21:20 PM GMT+5:30,25,Others,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Few times a week,Filter,Multiple pages,5,Maybe,Never,Found a better price elsewhere,Never,No,Moderately,Sometimes,5,Yes,2,4,Customer service ,I have no problem with Amazon yet. But others tell me about the refund issues ,394200
2023/06/05 9:56:58 AM GMT+5:30,48,Female,Once a week,Clothing and Fashion,Yes,Rarely,nan,Multiple pages,3,No,Always,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Yes,5,Sometimes,3,4,Competitive prices,Add more familiar brands to the list,793290
2023/06/09 2:23:45 PM GMT+5:30,49,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Multiple times a day,nan,First page,4,Yes,Often,High shipping costs,Often,No,Moderately,Yes,2,No,4,2,User-friendly website/app interface,Product quality and accuracy,290234
2023/06/08 7:50:55 PM GMT+5:30,17,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,nan,First page,1,No,Always,High shipping costs,Always,No,Heavily,Yes,1,Yes,1,4,Customer service,Shipping speed and reliability,137072
2023/06/08 5:25:40 PM GMT+5:30,36,Male,Once a month,Clothing and Fashion;others,Yes,Rarely,others,Multiple pages,2,Maybe,Never,Found a better price elsewhere,Rarely,No,Never,No,5,No,1,2,All the above,User interface of app,726158
2023/06/07 9:20:34 AM GMT+5:30,66,Male,Once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,5,Maybe,Always,High shipping costs,Rarely,No,Never,No,3,Sometimes,1,2,Customer service ,User interface of app,541010
2023/06/07 7:17:13 PM GMT+5:30,43,Female,Once a month,Beauty and Personal Care;others,No,Multiple times a day,nan,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,No,1,Yes,2,4,Customer service ,Product quality and accuracy,256701
2023/06/09 7:24:06 PM GMT+5:30,59,Female,Multiple times a week,Beauty and Personal Care,No,Few times a month,others,First page,5,Yes,Always,Changed my mind or no longer need the item,Often,Yes,Rarely,Yes,3,Yes,3,3,Quick delivery,Nil,342717
2023/06/08 5:52:26 PM GMT+5:30,23,Others,Once a week,Clothing and Fashion;Home and Kitchen,Yes,Few times a month,categories,Multiple pages,3,Yes,Always,Found a better price elsewhere,Often,Yes,Moderately,Sometimes,3,No,4,4,Wide product selection,I don't have any problem with Amazon,492469
2023/06/07 11:00:15 PM GMT+5:30,32,Female,Few times a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Few times a week,Keyword,First page,4,Yes,Often,Found a better price elsewhere,Always,No,Heavily,Yes,1,Sometimes,1,5,User-friendly website/app interface,No problems with Amazon,929341
2023/06/11 11:06:52 PM GMT+5:30,65,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Often,others,Rarely,No,Occasionally,Sometimes,2,Yes,4,2,Product recommendations,better app interface and lower shipping charges,510823
2023/06/06 7:19:43 PM GMT+5:30,13,Male,Once a week,Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,categories,Multiple pages,3,Yes,Often,Changed my mind or no longer need the item,Rarely,No,Occasionally,No,1,No,2,2,Customer service ,Product quality and accuracy,671363
2023/06/06 6:40:27 PM GMT+5:30,15,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,others,First page,3,No,Sometimes,High shipping costs,Always,No,Moderately,Yes,4,Yes,5,2,Customer service ,Nothing,557654
2023/06/05 2:24:22 PM GMT+5:30,17,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,others,Multiple pages,1,Maybe,Often,others,Rarely,Yes,Occasionally,Sometimes,1,Sometimes,1,2,Wide product selection,Nil,318253
2023/06/07 8:20:23 PM GMT+5:30,18,Female,Once a week,others,No,Few times a week,categories,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Often,No,Occasionally,Sometimes,5,No,5,4,Customer service,Add more familiar brands to the list,368973
2023/06/08 2:21:41 PM GMT+5:30,31,Male,Few times a month,Beauty and Personal Care;others,No,Rarely,others,First page,1,Maybe,Often,High shipping costs,Sometimes,Yes,Heavily,No,1,Yes,4,1,Quick delivery,Add more familiar brands to the list,423614
2023/06/07 9:19:23 AM GMT+5:30,36,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Rarely,nan,Multiple pages,2,Maybe,Rarely,others,Sometimes,No,Moderately,Yes,3,Yes,1,4,Customer service ,User interface ,661048
2023/06/06 6:57:14 PM GMT+5:30,4,Female,Multiple times a week,Home and Kitchen;others,No,Few times a week,Filter,First page,3,Maybe,Rarely,others,Never,Yes,Occasionally,Yes,1,No,3,4,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,953478
2023/06/04 8:54:36 PM GMT+5:30,30,Prefer not to say,Once a week,Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,others,Multiple pages,3,No,Often,Found a better price elsewhere,Rarely,No,Moderately,Yes,2,No,2,4,.,No problems with Amazon,801026
2023/06/07 9:16:59 PM GMT+5:30,24,Male,Once a month,others,Sometimes,Few times a month,categories,First page,1,Yes,Rarely,others,Rarely,No,Never,Yes,2,Sometimes,4,2,All the above,Customer service responsiveness,861300
2023/06/07 11:47:07 AM GMT+5:30,39,Prefer not to say,Multiple times a week,Home and Kitchen;others,Sometimes,Multiple times a day,nan,Multiple pages,2,Yes,Always,Changed my mind or no longer need the item,Sometimes,Yes,Rarely,No,5,Yes,2,4,Wide product selection,better app interface and lower shipping charges,330351
2023/06/07 6:29:53 PM GMT+5:30,49,Others,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,No,Rarely,categories,Multiple pages,3,Maybe,Often,Changed my mind or no longer need the item,Never,Yes,Never,Sometimes,1,No,2,2,.,UI,494520
2023/06/06 7:16:28 PM GMT+5:30,51,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Always,Changed my mind or no longer need the item,Always,No,Rarely,Sometimes,5,Sometimes,1,4,Quick delivery,Add more familiar brands to the list,118160
2023/06/08 5:07:19 PM GMT+5:30,54,Others,Multiple times a week,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Few times a month,nan,First page,2,Yes,Never,High shipping costs,Often,Yes,Never,No,2,Yes,1,5,All the above,User interface ,991814
2023/06/07 11:05:19 PM GMT+5:30,8,Prefer not to say,Multiple times a week,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Multiple times a day,others,Multiple pages,5,Maybe,Sometimes,others,Sometimes,No,Rarely,Yes,1,Sometimes,1,2,.,I don't have any problem with Amazon,795173
2023/06/06 6:42:00 PM GMT+5:30,29,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Multiple times a day,categories,Multiple pages,1,Yes,Often,others,Always,Yes,Never,Yes,4,Sometimes,2,3,Wide product selection,Nothing,428050
2023/06/08 5:37:58 PM GMT+5:30,34,Male,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Yes,Multiple times a day,nan,Multiple pages,4,No,Never,Changed my mind or no longer need the item,Never,Yes,Moderately,Sometimes,2,Sometimes,4,3,.,.,852218
2023/06/09 3:26:38 PM GMT+5:30,62,Female,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Few times a month,others,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Heavily,No,2,No,3,1,Product recommendations,I don't have any problem with Amazon,581774
2023/06/11 11:05:38 PM GMT+5:30,21,Prefer not to say,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,others,Multiple pages,2,No,Always,High shipping costs,Sometimes,No,Occasionally,No,3,Sometimes,3,2,Competitive prices,User interface ,987635
2023/06/04 11:12:15 PM GMT+5:30,64,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,4,Yes,Always,High shipping costs,Sometimes,No,Occasionally,No,5,No,5,2,.,Quality of product is very poor according to the big offers,116397
2023/06/07 9:21:10 PM GMT+5:30,15,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Few times a month,categories,First page,1,No,Always,High shipping costs,Rarely,No,Moderately,Sometimes,5,No,2,5,Customer service ,I have no problem with Amazon yet. But others tell me about the refund issues ,178480
2023/06/12 3:35:24 PM GMT+5:30,56,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,Keyword,First page,2,No,Sometimes,others,Never,Yes,Occasionally,No,2,No,5,2,Customer service ,Nil,957611
2023/06/06 6:35:14 PM GMT+5:30,5,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Rarely,nan,Multiple pages,4,Maybe,Never,Changed my mind or no longer need the item,Always,No,Rarely,No,3,Sometimes,4,4,User-friendly website/app interface,.,295647
2023/06/05 8:06:04 PM GMT+5:30,33,Others,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,Keyword,First page,4,Maybe,Sometimes,High shipping costs,Sometimes,Yes,Occasionally,Sometimes,4,Yes,4,3,Quick delivery,No problems with Amazon,955147
2023/06/11 11:09:33 PM GMT+5:30,10,Others,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,others,First page,1,Yes,Never,others,Rarely,No,Occasionally,Yes,4,Yes,1,5,Quick delivery,User interface of app,699566
2023/06/11 11:06:16 PM GMT+5:30,50,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Rarely,others,Multiple pages,2,No,Rarely,Changed my mind or no longer need the item,Never,Yes,Rarely,Yes,4,No,2,2,User-friendly website/app interface,Nothing,225208
2023/06/07 12:29:31 PM GMT+5:30,61,Female,Few times a month,Clothing and Fashion,No,Rarely,nan,First page,2,Maybe,Sometimes,Changed my mind or no longer need the item,Often,Yes,Moderately,Sometimes,5,Sometimes,1,3,Product recommendations,Quality of product is very poor according to the big offers,916595
2023/06/08 5:20:57 PM GMT+5:30,28,Female,Multiple times a week,Groceries and Gourmet Food,Yes,Few times a month,categories,Multiple pages,2,Yes,Always,High shipping costs,Never,Yes,Never,Sometimes,3,Sometimes,1,3,Customer service ,Add more familiar brands to the list,852984
2023/06/06 7:22:31 PM GMT+5:30,4,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Rarely,others,Multiple pages,4,Maybe,Never,Found a better price elsewhere,Rarely,Yes,Never,No,3,Yes,5,2,Wide product selection,I don't have any problem with Amazon,370605
2023/06/05 4:26:25 AM GMT+5:30,16,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Rarely,others,Multiple pages,1,Maybe,Often,Found a better price elsewhere,Never,No,Moderately,Sometimes,1,No,5,5,Product recommendations,Product quality and accuracy,546848
2023/06/05 9:20:17 AM GMT+5:30,8,Others,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,nan,First page,1,Yes,Rarely,Found a better price elsewhere,Always,Yes,Heavily,Yes,2,No,2,5,All the above,User interface of app,754039
2023/06/08 7:00:57 AM GMT+5:30,51,Female,Once a week,Groceries and Gourmet Food;Clothing and Fashion;others,No,Multiple times a day,categories,First page,4,Yes,Rarely,others,Always,Yes,Occasionally,Sometimes,4,Sometimes,2,3,Customer service ,Scrolling option would be much better than going to next page,564961
2023/06/07 6:15:10 PM GMT+5:30,34,Prefer not to say,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,others,Multiple pages,4,Maybe,Often,others,Sometimes,Yes,Moderately,Sometimes,1,No,4,2,.,UI,597326
2023/06/05 1:45:30 PM GMT+5:30,13,Prefer not to say,Less than once a month,others,No,Few times a week,Filter,Multiple pages,2,No,Always,High shipping costs,Always,No,Never,Yes,3,No,4,4,All the above,I have no problem with Amazon yet. But others tell me about the refund issues ,532390
2023/06/07 10:58:04 PM GMT+5:30,17,Prefer not to say,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Filter,First page,2,No,Often,Changed my mind or no longer need the item,Sometimes,No,Moderately,No,3,No,4,4,Customer service ,I have no problem with Amazon yet. But others tell me about the refund issues ,537414
2023/06/07 10:07:42 PM GMT+5:30,28,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Keyword,First page,3,No,Sometimes,Found a better price elsewhere,Never,Yes,Moderately,No,3,Sometimes,3,2,.,.,516478
2023/06/07 10:56:11 AM GMT+5:30,14,Female,Multiple times a week,others,Sometimes,Few times a month,others,Multiple pages,5,Maybe,Sometimes,High shipping costs,Never,No,Occasionally,No,4,No,1,5,Competitive prices,No problems with Amazon,863309
2023/06/10 2:40:34 PM GMT+5:30,12,Prefer not to say,Multiple times a week,Beauty and Personal Care;others,Yes,Few times a month,categories,Multiple pages,3,Yes,Always,Found a better price elsewhere,Sometimes,No,Occasionally,No,4,Yes,3,2,Wide product selection,User interface ,167893
2023/06/08 12:22:05 PM GMT+5:30,23,Prefer not to say,Once a week,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Few times a month,nan,First page,3,Maybe,Never,Found a better price elsewhere,Always,No,Occasionally,Sometimes,3,Sometimes,4,4,Competitive prices,I don't have any problem with Amazon,701131
2023/06/05 1:45:30 PM GMT+5:30,19,Others,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,others,First page,5,Yes,Never,High shipping costs,Often,No,Occasionally,No,1,Yes,1,1,Customer service,.,641191
2023/06/09 4:28:58 PM GMT+5:30,62,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,categories,First page,3,Maybe,Sometimes,Found a better price elsewhere,Often,Yes,Heavily,No,5,No,2,2,All the above,.,745134
2023/06/04 8:02:28 PM GMT+5:30,22,Others,Once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Rarely,categories,First page,4,Yes,Always,High shipping costs,Often,Yes,Never,No,4,Sometimes,2,3,All the above,Add more familiar brands to the list,944437
2023/06/08 7:50:55 PM GMT+5:30,3,Male,Once a month,Groceries and Gourmet Food;Home and Kitchen,No,Rarely,Filter,First page,1,Yes,Rarely,Found a better price elsewhere,Often,No,Moderately,Sometimes,4,Sometimes,1,2,All the above,Irrelevant product suggestions,519189
2023/06/09 10:26:01 AM GMT+5:30,3,Prefer not to say,Less than once a month,Clothing and Fashion,No,Few times a month,nan,First page,4,Maybe,Always,others,Often,Yes,Heavily,No,5,No,2,4,Quick delivery,No problems with Amazon,518171
